District code,State name,District name,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Illiterate_Education,Age not stated,literate education,age 0-29,age 30-49,age 50>
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1746649,100723,1729,475,8814,4161,519493,6910,1349036,1193660,402321,265638
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,2867707,790515,6320,1135,1959,678,1946345,73243,1735551,2436051,748408,424194
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2830768,1536534,14822,28187,4371,931,1744527,88020,2703832,2893965,952233,514141
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1449007,489686,3510,84787,360,138,977839,4582,1053168,1320476,449673,256276
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,2412595,527581,4630,51090,2312,301,1324615,24321,1681923,1961237,652237,368743
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,3078262,807600,7502,94388,18454,487,1833578,31203,2187665,2582597,896611,510832
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,3555450,893725,6579,11611,2663,1410,2141696,32304,2342296,2862383,1000987,588318
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,3508131,556219,5822,5688,6671,446,1481604,29187,2611241,2598364,905306,559988
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,2732016,363453,3574,1204,920,240,1130103,54348,1978264,1893706,706851,453462
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3537787,985070,20493,23883,3877,4975,1146880,64605,3442958,2678289,1161686,685258
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,2975998,413243,3634,2424,722,397,1286726,6386,2118833,2116007,776583,506583
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1596278,276846,3137,3160,3161,487,710960,2672,1174244,1224584,411153,246795
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1375788,273967,1263,504,2033,606,543034,2137,1113582,1069916,361028,223535
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1457892,113961,1362,1045,1733,3917,397708,2365,1184102,979633,362026,237786
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,1273546,101963,1004,371,332,228,276224,392,1103321,856336,320763,202054
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1612968,176327,1300,478,819,155,475166,3174,1321018,1100820,415918,276272
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3792174,720660,15751,29676,2733,5710,676306,9508,3904962,2630411,1209554,731795
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1509708,171581,1148,463,2875,256,461666,2113,1228308,1002817,410090,274954
