District name,State name,gender_ratio,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,youth_pct,working_pct,elderly_pct,pop_log,literacy_rate,literacy_class
Ganjam,ORISSA,0.9834730763740025,0.9878232863355408,0.003772990376111743,0.006793649588229743,0.00016718470310972047,4.930531922218875e-05,0.5611262695057085,0.26204247001514014,0.1737726305039542,15.076534170340864,0.7009572882754501,Medium
Gajapati,ORISSA,1.0426078718334852,0.6111969706671836,0.0026928941169955195,0.37984690654653636,9.17245425454772e-05,0.003772820806587553,0.597744614644429,0.24928826946939947,0.14723000534771388,13.267014219177014,0.4188107999591566,Low
Kandhamal,ORISSA,1.0367278334189947,0.7915592475890385,0.002916342704369058,0.2031004896945888,0.00011185224591125479,0.0003955750160276084,0.5955791081829466,0.24207963334288168,0.16065392642304702,13.505052401873353,0.6072240182237317,Medium
Baudh,ORISSA,0.9905786802030457,0.9931771095425264,0.0022826082028823877,0.0011832388102329756,5.4401784378527614e-05,1.133370507885992e-05,0.5745440450446775,0.25290256187069604,0.1701098462696243,12.997169700650838,0.6681672492191078,Medium
Subarnapur,ORISSA,0.9600368761885183,0.9918745687769079,0.0025664431817995583,0.0038906360878621657,9.505345117776142e-05,7.538721989960389e-05,0.5597681351332305,0.25198997677745855,0.18592782820891438,13.321515830009755,0.7259117346763184,Medium
Balangir,ORISSA,0.9865112149543969,0.9813086379174735,0.0047368188056133515,0.009867210188981545,0.0003426325214660791,0.0002832024557958565,0.5482278015060064,0.2607712445807967,0.18852429689077663,14.315678388684724,0.5625286158798348,Low
Nuapada,ORISSA,1.0213867970141939,0.984780023001989,0.008112952216808491,0.0029129299356796235,0.0011861424484994642,0.0001245121907264631,0.5637043687395762,0.2501400762145673,0.18402410293881535,13.321841907974772,0.4821505221320419,Low
Kalahandi,ORISSA,1.0033883834476134,0.9863641177548674,0.003154986241723314,0.00707731587088084,0.0005047977986757302,0.000110979415538006,0.5581693850281793,0.26367313962034894,0.1747342360081909,14.270952427544053,0.5146280382200423,Low
Rayagada,ORISSA,1.0508326976862445,0.9034353365133778,0.004759735140937545,0.08773120669152433,0.00022626047229548998,0.00025725505754144753,0.5967170535307482,0.2539138412519333,0.14549374890873232,13.782896453035324,0.3975272519890775,Low
Nabarangapur,ORISSA,1.018719866669312,0.9648297303893866,0.0055309571430677525,0.02633367896696496,0.00013841726005900344,0.00015479800089438845,0.6103513177486966,0.2437061098525242,0.14067862133132833,14.015137345107322,0.3945760090945873,Low
Koraput,ORISSA,1.0324524277079414,0.9380305251995619,0.00641468433592071,0.04968662273755533,0.00037545836000078283,0.0001587362564482074,0.5933242343874918,0.2528204678443109,0.15018769293884596,14.137338952133106,0.44137377169667313,Low
